propositions,clauses,result,DPLL calls,L/N ratio,solve time
22,96,True,880,4.4,0.11159992218017578
24,105,True,977,4.4,0.1313037872314453
26,114,False,3804,4.4,0.8220937252044678
28,123,False,6955,4.4,1.4959981441497803
30,132,True,442,4.4,0.05108308792114258
32,140,False,38975,4.4,8.009563446044922
34,149,True,39975,4.4,8.27116346359253
36,158,False,63202,4.4,14.219301223754883
38,167,True,252299,4.4,61.076781034469604
10,46,True,13,4.6,0.0
12,55,False,75,4.6,0.015563011169433594
14,64,True,140,4.6,0.01569056510925293
16,73,True,28,4.6,0.0
18,82,True,616,4.6,0.09338688850402832
20,92,True,311,4.6,0.04960918426513672
22,101,True,777,4.6,0.10094547271728516
24,110,False,4874,4.6,0.8354811668395996
26,119,False,3439,4.6,0.7147338390350342
28,128,False,12492,4.6,2.6099414825439453
30,138,True,474,4.6,0.06959199905395508
32,147,True,9201,4.6,1.9954602718353271
34,156,False,43150,4.6,10.774930238723755
36,165,False,36896,4.6,11.356417655944824
38,174,False,355664,4.6,88.61422348022461
10,48,True,20,4.8,0.002948760986328125
12,57,False,86,4.8,0.0050106048583984375
14,67,True,72,4.8,0.0
16,76,False,503,4.8,0.0558164119720459
18,86,True,434,4.8,0.052538394927978516
20,96,False,919,4.8,0.16006231307983398
22,105,True,657,4.8,0.09011101722717285
24,115,False,3791,4.8,0.6999025344848633
26,124,False,3382,4.8,0.8735077381134033
28,134,False,9951,4.8,2.0386950969696045
30,144,False,22930,4.8,5.112083911895752
32,153,False,17679,4.8,4.864243268966675
34,163,True,1916,4.8,0.4269418716430664
36,172,True,16484,4.8,4.399078845977783
38,182,False,178173,4.8,51.95196890830994
10,50,False,54,5.0,0.006940603256225586
12,60,True,37,5.0,0.0
14,70,True,78,5.0,0.010009765625
16,80,True,354,5.0,0.04785752296447754
18,90,False,709,5.0,0.11432528495788574
20,100,False,656,5.0,0.15532135963439941
22,110,False,1937,5.0,0.3922724723815918
24,120,False,4533,5.0,0.8342366218566895
26,130,False,6942,5.0,1.4697210788726807
28,140,True,9085,5.0,2.0705277919769287
30,150,True,1661,5.0,0.3529174327850342
32,160,False,22308,5.0,6.204468488693237
34,170,False,74926,5.0,22.182893753051758
36,180,False,143780,5.0,45.0705726146698
38,190,False,311623,5.0,93.38540434837341
10,52,False,25,5.2,0.0
12,62,False,63,5.2,0.015647172927856445
14,72,False,150,5.2,0.02117633819580078
16,83,False,419,5.2,0.10721778869628906
18,93,False,412,5.2,0.09133386611938477
20,104,False,1036,5.2,0.1961500644683838
22,114,False,1947,5.2,0.4179651737213135
24,124,False,2195,5.2,0.5168173313140869
26,135,False,2866,5.2,0.7742211818695068
28,145,False,7948,5.2,2.412224531173706
30,156,False,12048,5.2,3.53022837638855
32,166,False,14910,5.2,4.817298889160156
34,176,False,39509,5.2,11.94579291343689
36,187,False,34035,5.2,13.06401515007019
38,197,False,74408,5.2,28.5508873462677
40,208,False,340570,5.2,121.47852921485901
10,54,False,47,5.4,0.006997585296630859
12,64,True,58,5.4,0.015531778335571289
14,75,False,65,5.4,0.014302492141723633
16,86,False,348,5.4,0.05994439125061035
18,97,False,472,5.4,0.10515594482421875
20,108,False,1092,5.4,0.22103476524353027
22,118,False,837,5.4,0.24196267127990723
24,129,False,2460,5.4,0.6287193298339844
26,140,False,6144,5.4,1.6010234355926514
28,151,False,6474,5.4,1.7858672142028809
30,162,False,18128,5.4,5.107483863830566
