50,150,True,68,3.0,0.07446026802062988
53,159,True,49,3.0,0.5687634944915771
56,168,True,68,3.0,0.06478595733642578
59,177,True,462,3.0,0.3243696689605713
62,186,True,88,3.0,0.0697782039642334
65,195,True,71,3.0,0.08398175239562988
68,204,True,254,3.0,0.19376134872436523
71,213,True,62,3.0,0.062441349029541016
74,222,True,99,3.0,0.10515165328979492
77,231,True,75,3.0,0.08085250854492188
80,240,True,103,3.0,0.10391974449157715
83,249,True,882,3.0,0.783245325088501
86,258,True,312,3.0,0.5557024478912354
89,267,True,169,3.0,0.28853416442871094
92,276,True,131,3.0,0.15710783004760742
95,285,True,86,3.0,0.1044919490814209
98,294,True,92,3.0,0.09903621673583984
101,303,True,662,3.0,0.7781352996826172
104,312,True,9829,3.0,11.623192548751831
107,321,True,3349,3.0,2.436237096786499
110,330,True,1480,3.0,1.658170223236084
113,339,True,8306,3.0,7.105144023895264
116,348,True,724,3.0,0.7084710597991943
119,357,True,694,3.0,1.148576021194458
122,366,True,287,3.0,0.3548429012298584
125,375,True,116,3.0,0.16089940071105957
128,384,True,286,3.0,0.3955700397491455
131,393,True,497,3.0,0.630570650100708
134,402,True,413,3.0,0.43337154388427734
137,411,True,222,3.0,0.31696152687072754
140,420,True,6647,3.0,6.005936861038208
143,429,True,802,3.0,0.7329971790313721
146,438,True,1080,3.0,1.2062687873840332
149,447,True,1975,3.0,2.580845355987549
152,456,True,1298,3.0,1.2814176082611084
148,444,True,3101,3.0,4.058053731918335
151,453,True,144,3.0,0.23205161094665527
147,441,True,152,3.0,0.2495424747467041
150,450,True,190,3.0,0.2676353454589844
153,459,True,1182,3.0,1.311291217803955
156,468,True,141,3.0,0.6802272796630859
159,477,True,144,3.0,0.24254226684570312
134,402,True,152,3.0,0.20040440559387207
137,411,True,4377,3.0,4.414333343505859
140,420,True,129,3.0,0.20471405982971191
143,429,True,389,3.0,0.4841632843017578
146,438,True,1428,3.0,2.3279500007629395
149,447,True,136,3.0,0.2282564640045166
152,456,True,185,3.0,0.2737302780151367
155,465,True,139,3.0,0.24279284477233887
158,474,True,511,3.0,0.8836867809295654
161,483,True,153,3.0,0.6959292888641357
164,492,True,151,3.0,0.27449512481689453
167,501,True,4548,3.0,8.086282730102539
170,510,True,208,3.0,0.3242764472961426
159,477,True,157,3.0,0.696561336517334
162,486,True,619,3.0,0.7851414680480957
158,474,True,179,3.0,0.2969684600830078
161,483,True,169,3.0,0.32073187828063965
157,471,True,4087,3.0,5.44342827796936
160,480,True,176,3.0,0.28211545944213867
163,489,True,643,3.0,0.699556827545166
166,498,True,190,3.0,0.3157331943511963
169,507,True,254,3.0,0.5003938674926758
172,516,True,452,3.0,1.1536204814910889
175,525,True,434,3.0,0.8665974140167236
178,534,True,163,3.0,0.32268452644348145
181,543,True,222,3.0,0.43456339836120605
184,552,True,1035,3.0,2.0064291954040527
180,540,True,312,3.0,0.6158566474914551
183,549,True,4210,3.0,8.668818712234497
186,558,True,708,3.0,1.7404932975769043
182,546,True,200,3.0,0.8239061832427979
185,555,True,9734,3.0,15.177485942840576
188,564,True,623,3.0,1.0926058292388916
191,573,True,7643,3.0,12.647103548049927
194,582,True,7034,3.0,11.030975580215454
197,591,True,182,3.0,0.3803098201751709
200,600,True,10658,3.0,16.750901699066162
196,588,True,302,3.0,0.5113346576690674
199,597,True,426,3.0,0.7152278423309326
202,606,True,289,3.0,1.0568006038665771
205,615,True,206,3.0,0.45312952995300293
208,624,True,183,3.0,0.41710901260375977
211,633,True,1842,3.0,3.579087495803833
214,642,True,196,3.0,0.4496638774871826
217,651,True,5419,3.0,12.73910903930664
220,660,True,252,3.0,1.0290470123291016
223,669,True,314,3.0,0.7180531024932861
226,678,True,210,3.0,0.4886772632598877
229,687,True,6111,3.0,10.579345226287842
232,696,True,492,3.0,1.3230013847351074
235,705,True,7392,3.0,18.261926889419556
217,651,True,3035,3.0,4.916255712509155
220,660,True,8427,3.0,12.327141046524048
223,669,True,1654,3.0,2.0806028842926025
212,636,True,452,3.0,0.7417104244232178
215,645,True,483,3.0,1.0946550369262695
218,654,True,8791,3.0,11.821640491485596
207,621,True,3949,3.0,7.4255406856536865
196,627,True,222,3.2,0.8706398010253906
178,569,True,195,3.2,0.4221928119659424
181,579,True,1333,3.2,2.770319700241089
150,450,True,11579,3.0,14.005216836929321
153,459,True,1920,3.0,2.997584819793701
156,468,True,2227,3.0,2.049807071685791
159,477,True,597,3.0,1.1166210174560547
162,486,True,5831,3.0,8.809280633926392
165,495,True,169,3.0,0.3016040325164795
168,504,True,7792,3.0,10.196291208267212
171,513,True,6473,3.0,12.403443098068237
167,501,True,187,3.0,0.3405616283416748
163,489,True,149,3.0,0.2920980453491211
166,498,True,152,3.0,0.2860703468322754
169,507,True,162,3.0,0.30243468284606934
172,516,True,5824,3.0,9.818860530853271
175,525,True,397,3.0,0.590111494064331
178,534,True,210,3.0,0.3934338092803955
181,543,True,9612,3.0,18.40550184249878
184,552,True,5900,3.0,8.170340299606323
180,540,True,8791,3.0,16.934500455856323
183,549,True,219,3.0,0.4266853332519531
186,558,True,11696,3.0,12.464460611343384
168,504,True,157,3.0,0.28475356101989746
171,513,True,210,3.0,0.8207876682281494
174,522,True,183,3.0,0.3380403518676758
177,531,True,425,3.0,0.7147786617279053
180,540,True,1025,3.0,1.9774439334869385
183,549,True,12125,3.0,18.109558582305908
186,558,True,18184,3.0,27.502410411834717
182,546,True,175,3.0,0.3634335994720459
178,534,True,3802,3.0,6.732821702957153
181,543,True,191,3.0,0.3588416576385498
